"reefName","x","y","area","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput"
"U/N Reef (10-422)",143.29489136,-10.98697853,485979.4624,0.155544638633728,0.0760103091597557,0.312504053115845
"U/N Reef (10-423)",143.66320801,-10.90422535,11105672.03,0.203572168946266,0.0355662927031517,0.160135716199875
"U/N Reef (10-424)",143.75733948,-10.89969254,18386596.7,0.215195566415787,0.0391049422323704,0.41417121887207
"U/N Reef (10-425)",143.53411865,-10.91361904,5074544.091,0.305424451828003,0.0461945533752441,0.382958263158798
"U/N Reef (11-034)",143.09963989,-11.17448425,12830743.73,0.147285729646683,0.0699400082230568,0.843206286430359
"Arnold Reef (11-001)",142.99273682,-11.00683498,608573.5313,0.214637875556946,0.0823217704892159,0.951107621192932
"Thomson Islet Reef (11-002)",142.75546265,-11.02495193,77417.30232,0.784085750579834,0.213789522647858,5.19260597229004
"U/N Reef (11-003)",142.7832489,-11.0704155,2210407.321,0.783463716506958,0.193116456270218,5.25802755355835
"Gilmore Bank (11-004)",142.83700562,-11.15866852,123342.1295,0.18018564581871,0.09575504809618,1.22122693061829
"U/N Reef (11-005)",142.81132507,-11.18551826,296587.6543,0.132377877831459,0.0753247812390327,1.0850191116333
"U/N Reef (11-006)",142.81231689,-11.19433308,77808.86824,0.140906468033791,0.0925246104598045,1.08089542388916
"U/N Reef (11-007)",142.82400513,-11.23168468,171446.2679,0.136623412370682,0.0856766626238823,1.05212819576263
"U/N Reef (11-008)",142.81898499,-11.24888897,1619232.314,0.136024430394173,0.0657767802476883,1.08592903614044
"Bushy Island Reef (11-009)",142.87251282,-11.2572403,2546569.902,0.137635052204132,0.0682019293308258,1.13612639904022
"Cairncross Islets Reef (11-010)",142.92893982,-11.24986839,2070661.198,0.141665264964104,0.0689001530408859,0.985289692878723
"U/N Reef (11-011a)",142.82872009,-11.29018688,49626.92247,0.14395172894001,0.0912837088108063,1.0656875371933
"U/N Reef (11-011b)",142.83093262,-11.29393196,42344.30238,0.146246552467346,0.0903051644563675,1.0656875371933
"U/N Reef (11-012)",142.86547852,-11.37253571,1092859.376,0.138503432273865,0.0692407488822937,1.0872563123703
"Halfway Islet Reef (11-013)",142.96537781,-11.3848238,1151650.978,0.138175010681152,0.0656185820698738,1.09269917011261
"Pearn Reef (11-014)",142.93530273,-11.43494606,138803.0305,0.153785437345505,0.0918988510966301,1.0931111574173
"U/N Reef (11-015)",142.84120178,-11.42433834,1087281.968,0.141002178192139,0.0669682174921036,1.11284911632538
"McSweeney Reef (11-016)",143.24269104,-11.02305126,5304091.546,0.0803959131545338,0.075,0.194444444444444
"U/N Reef (11-017)",143.33352661,-11.02789688,6731484.476,0.149932831525803,0.0606125742197037,0.125326126813889
"U/N Reef (11-018)",143.35643005,-11.0323143,2543830.868,0.148590832948685,0.0638813152909279,0.165293082594872
"U/N Reef (11-019)",143.47373962,-11.02850151,1654688.51,0.122189342975616,0.0475730113685131,0.0877270400524139
"U/N Reef (11-020)",143.3795166,-11.03877735,1330770.885,0.146021962165833,0.0627937987446785,0.1763965934515
"U/N Reef (11-021)",143.37095642,-11.05878925,653295.1231,0.156953796744347,0.0674538090825081,0.378357946872711
"U/N Reef (11-022)",143.46763611,-11.04762936,27611093.91,0.143537387251854,0.0513243190944195,0.111995756626129
"U/N Reef (11-023)",143.40223694,-11.07457256,2237337.345,0.153668642044067,0.0742696300148964,0.199063867330551
"U/N Reef (11-024)",143.31980896,-11.07910061,15235657.29,0.130799129605293,0.0617785416543484,-0.0152115803211927
"U/N Reef (11-025)",143.09083557,-11.06997013,17002865.5,0.212884411215782,0.0810677483677864,1.04452359676361
"Sinclair Reef (11-026)",143.02845764,-11.11662197,2259719.36,0.127316877245903,0.0675180181860924,0.636193096637726
"U/N Reef (11-027)",143.00056458,-11.12924671,84833.91059,0.154553130269051,0.0986239314079285,0.657544136047363
"U/N Reef (11-028)",143.49406433,-11.10666275,4947698.257,0.649196445941925,0.057177510112524,4.10481977462769
"Monsoon Reef (11-029)",143.25291443,-11.12877846,4271488.762,0.0592901234567901,0.0408333333333333,0.2
"U/N Reef (11-030)",143.44126892,-11.1438036,40857823.93,0.154876828193665,0.0583402514457703,0.117385104298592
"U/N Reef (11-031)",143.22291565,-11.1421051,9822348.986,0.134061634540558,0.067155160009861,0.310995310544968
"U/N Reef (11-032)",143.42150879,-11.1607399,4732532.73,0.261281758546829,0.0608286298811436,2.27868723869324
"U/N Reef (11-033a)",143.39331055,-11.184021,7460965.292,0.145329520106316,0.0592727512121201,0.191721007227898
"U/N Reef (11-033b)",143.39369202,-11.20446301,1669088.17,0.142875969409943,0.0598744638264179,0.179026424884796
