"year","reefName","cotsPerTow","softCorCov","hardCorCov","source","bleachPercent","bleachSeverity","sourceBoth","controlled","x","y"
1986,"Packer Reefs (20-145)",0,NaN,29.9230769230769,"AIMS",NaN,NaN,FALSE,FALSE,150.20411682,-20.47503471
1986,"Parker Reef (20-286)",0,NaN,17.3809523809524,"AIMS",NaN,NaN,FALSE,FALSE,149.7512207,-20.54230118
1986,"Pearson Reef (11-211)",0,NaN,25.4137931034483,"AIMS",NaN,NaN,FALSE,FALSE,143.71586609,-11.56678677
1986,"Peart Reef (17-024)",0,NaN,4.50877192982456,"AIMS",NaN,NaN,FALSE,FALSE,146.39112854,-17.48226547
1986,"Pelican Island Reef (13-107)",0,NaN,23.1440677966102,"AIMS",NaN,NaN,FALSE,FALSE,143.84161377,-13.91487694
1986,"Peter Reef (13-055)",0,NaN,18.9578313253012,"AIMS",NaN,NaN,FALSE,FALSE,143.78071594,-13.33258152
1986,"Pickersgill Reef (15-093)",0,NaN,10.0857142857143,"AIMS",NaN,NaN,FALSE,FALSE,145.57443237,-15.87277699
1986,"Pixie Reef (16-040)",0,NaN,18.6818181818182,"AIMS",NaN,NaN,FALSE,FALSE,145.86245728,-16.54697227
1986,"Plaster Reef (19-147)",0,NaN,21.7888888888889,"AIMS",NaN,NaN,FALSE,FALSE,149.66975403,-19.62962532
1986,"Pollux Reef (19-027)",0,NaN,24.25,"AIMS",NaN,NaN,FALSE,FALSE,148.30413818,-19.04730606
1986,"Potter Reef (No 1) (17-059a)",0.0144927536231884,NaN,16.963768115942,"AIMS",NaN,NaN,FALSE,FALSE,146.54440308,-17.69752693
1986,"Prawn Reef (19-024)",0,NaN,13.8769230769231,"AIMS",NaN,NaN,FALSE,FALSE,148.09669495,-19.02057266
1986,"Price Cay Reef (21-518)",0,NaN,31.6111111111111,"AIMS",NaN,NaN,FALSE,FALSE,152.45567322,-21.7843132
1986,"Rachel Carson Reef (15-092)",0,NaN,33.9868421052632,"AIMS",NaN,NaN,FALSE,FALSE,145.81944275,-15.82970524
1986,"Rafter Reef (19-146)",0,NaN,23.952380952381,"AIMS",NaN,NaN,FALSE,FALSE,149.6325531,-19.61058044
1986,"Raine Reef (11-243)",0,NaN,56.1862745098039,"AIMS",NaN,NaN,FALSE,FALSE,144.0443573,-11.59504986
1986,"Reimer Reef (19-152)",0,NaN,26.25,"AIMS",NaN,NaN,FALSE,FALSE,149.87913513,-19.63298798
1986,"Ribbon No 4 Reef (15-046)",0,NaN,10.8333333333333,"AIMS",NaN,NaN,FALSE,FALSE,145.8008728,-15.43488216
1986,"Ribbon No 5 Reef (15-038)",0,NaN,21.8924050632911,"AIMS",NaN,NaN,FALSE,FALSE,145.78292847,-15.36378002
1986,"Ribbon No 6 Reef (15-032)",0,NaN,22.2592592592593,"AIMS",NaN,NaN,FALSE,FALSE,145.75184631,-15.28094673
