"reefName","cotsPerTowMean","cotsPerTowMedian","nObs","x","y","area"
"Elizabeth Reef (19-082)",0.150144195275009,0,10,149.04302979,-19.32583809,13580154.84
"Ellison Reef (17-044)",0.213900411557869,0,14,146.39360046,-17.72225189,25111964.56
"Emily Reef (15-082)",0.747482123839951,0.0119047619047619,5,145.62632751,-15.60594273,35300245.39
"Emperor Reef (21-538)",0.012949749940462,0,5,152.44381714,-21.8837204,22515968.94
"Endeavour Reef (15-089)",0.255329419439008,0,6,145.58180237,-15.77656364,20421282.07
"Erskine Reef (23-068)",0.00092678405931418,0,13,151.77363586,-23.50185394,5023866.482
"Escape Reef (15-094)",0,0,10,145.79629517,-15.87716198,26941243.21
"Euston Reef (16-063)",0.0125,0,5,146.25227356,-16.68704605,1793474.168
"Evening Reef (15-095)",0.191975795320573,0.02,17,145.65682983,-15.90518665,9103503.29
"Eye Reef (14-134)",0.407692307692308,0,11,145.47799683,-14.89468002,1419016.22
"Eyrie Reef (14-118)",0.100893087041992,0.0224719101123595,17,145.3792572,-14.71065998,14996927.29
"Fairey Reef (No 1) (19-109a)",0.0124318658280922,0,5,148.94335938,-19.53862,8676417.781
"Fairfax Islands Reef (23-081)",0.194488022313606,0.0203318995759739,14,152.36096191,-23.86657143,13046448.13
"Faith Reef (19-044)",0.684384324382336,0.0317540322580645,22,148.349823,-19.27865601,4416372.604
"Fantome (Eumilli) Island Reef (18-053)",0,0,8,146.51159668,-18.67670441,1829623.859
"Faraday Reef (18-041)",0.210144927536232,0,6,147.34922791,-18.42234421,2497874.397
"Farquharson Reef (No 1) (17-063a)",0.18255724061124,0,13,146.51689148,-17.79090881,22929653.99
"Feather Reef (17-034)",0.256264555962224,0,28,146.37722778,-17.5328598,17677142.54
"Fife Reef (13-081)",0,0,4,143.73074341,-13.65333939,4117978.838
"Fitzroy Island Reef (No 1) (16-054a)",0.00430289739500266,0,19,145.99356079,-16.92498398,163781.061
"Fitzroy Island Reef (No 2) (16-054b)",0,0,5,145.98471069,-16.93302727,24890.27506
"Fitzroy Reef (23-077)",0.0890635982557845,0.0262582056892779,15,152.14743042,-23.63306427,36684358.83
"Flora Reef (17-010)",0.192034966090673,0,16,146.29089355,-17.1848011,11289588.9
"Fly Reef (14-109)",0.0301333708145927,0.0208333333333333,8,145.15846252,-14.50730419,1425476.438
"Flynn Reef (16-065)",0,0,11,146.27462769,-16.72874832,4205081.546
"Forbes Islands Reef (12-016b)",0.388092966916496,0.411764705882353,5,143.40895081,-12.29255772,1579857.252
"Fore And Aft Reef (18-043)",0.323458462553633,0.0177165354330709,19,147.03765869,-18.50482941,20803183.48
"Fork Reef (18-083)",0.0653396109936935,0,13,147.55445862,-18.6082859,30932813.99
"Forrester Reef (15-009)",0.32582868708821,0.0214374482187241,18,145.49612427,-15.16672802,14392506.25
"Frigate Reef (21-511)",0.187926473271301,0.037037037037037,7,152.42849731,-21.73435974,2330245.862
"Gannett Cay Reef (21-556)",3.51352028938566,0.375,31,152.47738647,-21.98163605,1365749.003
"Gater Reef (22-130)",2.90018939393939,0.645833333333333,4,152.69818115,-22.17048645,25855906.95
"Gibson Reef (17-017)",0.0617560347746271,0,11,146.35955811,-17.30199242,46196046.21
"Gilbey Reef (17-057)",1.17843311983298,0.0606382978723404,8,146.57826233,-17.58052826,7706577.333
"Glow Reef (18-071)",1.74787878787879,0,5,147.40255737,-18.52807808,8840947.44
"Green Island Reef (16-049)",0.0186766959618077,0,31,145.99865723,-16.76707268,35435415.46
"Grub Reef (18-077)",0.861024350918205,0.0233062330623306,16,147.42596436,-18.62554359,31306639.38
"Hall-Thompson Reef (17-037)",0.0155260977630489,0.00392156862745098,5,146.45721436,-17.60943413,36234946.15
"Hardy Reef (19-135)",0.123611609193501,0.0075187969924812,21,149.23330688,-19.76042366,42891833.45
"Harrier Reef (15-025)",0,0,7,145.69720459,-15.13665295,1603653.831
