"reefName","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput","x","y","area"
"U/N Reef (11-039)",NaN,NaN,NaN,143.25714111,-11.24144936,1629057.473
"U/N Reef (11-040)",NaN,NaN,NaN,143.14968872,-11.27138233,12499681.44
"U/N Reef (11-041a)",NaN,NaN,NaN,143.03419495,-11.28863144,290072.7681
"U/N Reef (11-041b)",NaN,NaN,NaN,143.04618835,-11.28736115,550504.515
"U/N Reef (11-042)",NaN,NaN,NaN,143.1962738,-11.29498386,11444770.73
"Onslow Reef (11-043)",NaN,NaN,NaN,143.28129578,-11.29741383,425969.9397
"Wilds Shoal (11-044)",NaN,NaN,NaN,143.36935425,-11.27690411,59186877.88
"U/N Reef (11-045)",NaN,NaN,NaN,143.48519897,-11.27064514,10367065.45
"U/N Reef (11-046)",NaN,NaN,NaN,143.126297,-11.31913948,1369655.871
"U/N Reef (11-047)",NaN,NaN,NaN,143.1277771,-11.34162426,3830650.367
"Turning Point Patches (No 1) (11-048a)",NaN,NaN,NaN,143.40556335,-11.32917881,42179017.43
"U/N Reef (11-071)",NaN,NaN,NaN,143.54277039,-11.25432873,51180839.38
"U/N Reef (11-072)",NaN,NaN,NaN,143.9954834,-11.28264427,810071.6638
"U/N Reef (11-073)",NaN,NaN,NaN,144.00578308,-11.28243065,625804.5232
"U/N Reef (11-074)",NaN,NaN,NaN,143.99632263,-11.29488564,1921823.538
"U/N Reef (11-075)",NaN,NaN,NaN,143.97923279,-11.29531193,806651.7862
"U/N Reef (11-076)",NaN,NaN,NaN,143.98078918,-11.30926514,826191.6322
"U/N Reef (11-056a)",NaN,NaN,NaN,143.40122986,-11.50461769,53862464.73
"U/N Reef (11-056b)",NaN,NaN,NaN,143.27011108,-11.46175861,100524867.8
"U/N Reef (11-056c)",NaN,NaN,NaN,143.30992126,-11.39694595,33183950.09
"U/N Reef (11-056d)",NaN,NaN,NaN,143.37800598,-11.46033001,7192329.262
"Cochin Reef (11-057)",NaN,NaN,NaN,143.43885803,-11.4305315,20903215.63
"Parkinson Reef (11-058)",NaN,NaN,NaN,143.12471008,-11.46813583,2419584.785
"Monkman Reef (11-059)",NaN,NaN,NaN,143.15672302,-11.4719553,7187485.737
"U/N Reef (11-060)",NaN,NaN,NaN,143.07514954,-11.48204327,1996882.131
"Little Boydong Reef (11-061)",NaN,NaN,NaN,143.04064941,-11.48878002,3040168.265
"Boydong Island Reef (11-062)",NaN,NaN,NaN,143.02876282,-11.4979887,4937813.577
"U/N Reef (11-063a)",NaN,NaN,NaN,143.49919128,-10.97768879,10899749.84
"U/N Reef (11-063b)",NaN,NaN,NaN,143.58938599,-11.01596832,23813733.69
