"reefName","cotsPerTowMean","cotsPerTowMedian","cotsPerTowMax","nObs","x","y","train"
"Havannah Reef (18-065)",0,0,0,18,146.53756714,-18.84302711,TRUE
"Hayman Island Reef (20-014)",0.00350877192982456,0,0.0666666666666667,19,148.89082336,-20.06110573,TRUE
"Hedley Reef (17-014)",0.0364587966442164,0,0.314553990610329,16,146.48373413,-17.22857094,TRUE
"Helix Reef (18-076)",1.09953644840008,0,16.45,22,147.2984314,-18.62459183,FALSE
"Helsdon Reef (14-135)",0.391734344354574,0.0235587583148559,4.74496644295302,20,145.48800659,-14.93945408,TRUE
"Heron Reef (23-052a)",0.027614232264025,0.0305298308967713,0.050682261208577,8,151.97113037,-23.44615173,TRUE
"Hicks Reef (14-086)",0.00130208333333333,0,0.0078125,6,145.4821167,-14.45256233,TRUE
"Hilder Reef (14-085)",0,0,0,10,145.41036987,-14.44501114,TRUE
"Hixson Cay Reef (22-145)",3.05,0.1,12,4,152.73062134,-22.34350204,TRUE
"Holbourne Island Reef (No 1) (19-103a)",0,0,0,6,148.35734558,-19.72500038,TRUE
"Hook Reef (19-136a)",0,0,0,5,149.18539429,-19.79242516,TRUE
"Hope Reef (16-058)",0,0,0,5,146.12957764,-16.52711296,TRUE
"Hope Reef (19-046)",0.204714640198511,0,0.615384615384615,6,148.43589783,-19.32163239,TRUE
"Hopkinson Reef (18-073)",2.44574841925383,0.0210615891926391,18.921568627451,12,147.19277954,-18.55063438,TRUE
"Horseshoe Reef (No 1) (22-104a)",2.1478227176412,0.44047619047619,15.6533333333333,25,152.58039856,-22.04248619,TRUE
"Hoskyn Islands Reef (23-080)",0.0129291061190596,0,0.111111111111111,17,152.28726196,-23.8077755,TRUE
"Houghton Reef (14-094)",0,0,0,4,144.97320557,-14.52409172,TRUE
"Howard Patch (No 1) (22-148a)",15.0909090909091,0.272727272727273,59.8181818181818,4,152.59686279,-22.3952713,TRUE
"Howard Patch (No 2) (22-148b)",4.76422764227642,0.195121951219512,18.6666666666667,4,152.65293884,-22.3807354,TRUE
"Howie Reef (17-018a)",0.0636782972733737,0.0203735144312394,0.247311827956989,8,146.38508606,-17.39389038,TRUE
"Hutchison Reef (17-043c)",0,0,0,4,146.16906738,-17.67407036,TRUE
"Hyde Reef (19-207)",0.00277777777777778,0,0.0666666666666667,24,150.08551025,-19.75622559,TRUE
"Ingram-Beanley Reef (14-064)",0.0366681968216495,0.0317391304347826,0.0769230769230769,6,144.88970947,-14.42552853,TRUE
"Irene Reef (15-084)",0.274255486321028,0.0184210526315789,1.68181818181818,13,145.71505737,-15.64757061,TRUE
"Jacqueline Reef (19-061)",0.0126986055544466,0,0.0645161290322581,9,148.90376282,-19.21391678,TRUE
"Jaguar Reef (18-120)",0.0104104104104104,0,0.0666666666666667,9,148.42677307,-18.9756794,TRUE
"Jenkins Reef (21-584)",0.651649474408095,0.0256410256410256,5.57333333333333,9,152.59945679,-21.95517349,TRUE
"Jessie-Kent Reef (17-043a)",0,0,0,5,146.17663574,-17.67463112,TRUE
"Jewell Reef (14-079)",0.00135869565217391,0,0.00543478260869565,4,145.35128784,-14.37976837,FALSE
"Joan Reef (13-128)",0,0,0,6,144.34959412,-13.94645691,TRUE
"John Brewer Reef (18-075)",1.47407012164048,0.00840336134453781,34.02,35,147.05296326,-18.63109779,TRUE
"Judith Wright Reef (18-101)",0.122287372757362,0.023696682464455,0.7,9,147.95126343,-18.89966774,FALSE
"Jupiter Reef (18-115)",0,0,0,6,148.25306702,-18.92404175,TRUE
"Kangaroo Reef (East) (19-063a)",0.00919678714859438,0,0.0481927710843374,8,148.61715698,-19.26265907,TRUE
"Kangaroo Reef (West) (19-063b)",0.00892857142857143,0,0.0357142857142857,8,148.55070496,-19.25987816,TRUE
"Kay Reef (12-010)",0.0277902174453899,0,0.253968253968254,11,143.28630066,-12.23149204,TRUE
"Keeper Reef (18-079)",3.65318400110399,0.0408163265306122,28.38,17,147.26829529,-18.74611664,TRUE
"Kelso Reef (18-030)",0.335446246644709,0.00763358778625954,2.43859649122807,15,146.99006653,-18.43645859,TRUE
"Knife Reef (18-081)",0.197481119703342,0,2.66666666666667,18,147.57148743,-18.57635307,TRUE
"Lady Elliot Island Reef (24-008)",0.0139261784984559,0.0159272558786053,0.0235294117647059,6,152.71542358,-24.11328316,FALSE
"Lady Musgrave Reef (23-082a)",0.0621932823115194,0.0166666666666667,0.397058823529412,29,152.38720703,-23.90178299,TRUE
"Lagoon Reef (12-061)",0.0010989010989011,0,0.0153846153846154,14,143.75706482,-12.38443565,TRUE
"Lamont Reef (23-076)",0.123832157320818,0.0871110899026532,0.357142857142857,6,152.0274353,-23.59870148,TRUE
"Langford-Bird Reef (20-019)",0.00944683908045977,0,0.116666666666667,16,148.87759399,-20.0883007,TRUE
"Lark Reef (15-033)",0.37304163632136,0.00862435918790369,2.89667896678967,8,145.5735321,-15.28826046,TRUE
"Lena Reef (15-085)",0,0,0,12,145.80799866,-15.64650345,TRUE
"Line Reef (19-128)",0,0,0,4,149.18353271,-19.68999863,TRUE
"Linnet Reef (14-126)",0.111441528932068,0,0.971428571428571,34,145.34443665,-14.78665161,TRUE
"Little Fitzroy Island Reef (16-055)",0.0333333333333333,0,0.166666666666667,5,146.00578308,-16.92298126,TRUE
"Little Kelso Reef (18-031)",0.392529205719433,0,4.36666666666667,17,146.99305725,-18.46914101,TRUE
"Lizard Island Reef (Coconut Bay) (14-116c)",0,0,0,6,145.47232056,-14.68106556,TRUE
"Lizard Island Reef (Lagoon) (14-116d)",0.00952380952380952,0,0.0363636363636364,7,145.44981384,-14.68557739,FALSE
"Lizard Island Reef (North East) (14-116b)",0.0281759483454399,0.0169491525423729,0.133333333333333,7,145.46611023,-14.65501785,TRUE
"Lizard Island Reef (North West) (14-116a)",0.228072763304005,0.0219727891156463,1.92045454545455,28,145.44694519,-14.65856457,TRUE
"Llewellyn Reef (23-078)",0.0378018119768918,0.0242718446601942,0.148148148148148,7,152.18093872,-23.69460678,TRUE
"Lodestone Reef (18-078)",2.41871160160953,0.0421610169491525,21.1764705882353,16,147.10308838,-18.69019508,TRUE
"Log Reef (South) (12-107)",0,0,0,4,143.84440613,-12.68454933,FALSE
"Long Reef (15-019)",0.0808672065998441,0.0188679245283019,0.266666666666667,7,145.57000732,-15.05088806,TRUE
"Low Islands Reef (16-028)",0.013172470836542,0,0.206896551724138,25,145.56443787,-16.38615227,FALSE
"Lynchs Reef (18-091)",0.102549601011275,0.0158730158730159,0.681159420289855,9,147.70838928,-18.7698307,FALSE
"MacGillivray Reef (14-114)",0.118709987982434,0,0.857142857142857,33,145.49102783,-14.6519022,TRUE
"Mackay Reef (16-015)",0.0909088375392723,0,0.675,26,145.64700317,-16.04948044,TRUE
"Mackay Reefs (15-024)",0.226257217637937,0.0185185185185185,1.56666666666667,13,145.57130432,-15.13893986,TRUE
"Mantis Reef (12-056)",0,0,0,5,143.89825439,-12.28798294,FALSE
"Maori Reef (17-006)",0.0506265664160401,0,0.338345864661654,8,146.34466553,-17.09428787,TRUE
