"x"
"William Reef (West) (12-052b)"
"Henry Reef (12-053)"
"Lloyds Reef (12-054)"
"U/N Reef (12-055a)"
"U/N Reef (12-055b)"
"Mantis Reef (12-056)"
"U/N Reef (12-057)"
"Ferguson Reef (12-058)"
"U/N Reef (12-059)"
"U/N Reef (12-060)"
"Lagoon Reef (12-061)"
"U/N Reef (12-062)"
"U/N Reef (12-063)"
"U/N Reef (12-064)"
"U/N Reef (12-065)"
"U/N Reef (12-066)"
"Northern Small Detached Reef (12-067)"
"U/N Reef (12-068)"
"U/N Reef (12-069)"
"U/N Reef (12-070)"
"U/N Reef (12-071)"
"Middle Reef (12-072)"
"Pigeon Reef (12-073)"
"U/N Reef (12-075)"
"Rocky Island Reef (12-076)"
"U/N Reef (12-077)"
"Restoration Island Reef (12-078)"
"U/N Reef (12-080)"
"Edward Shoal (12-081)"
"U/N Reef (12-082)"
"U/N Reef (12-083)"
"Lloyd Island Reef (12-084)"
"Hazelgrove Reefs (12-085)"
"May Reef (12-086)"
"U/N Reef (12-087)"
"Sunter Reef (12-088)"
"Exit Reef (12-089)"
"Waight Bank (12-091)"
"U/N Reef (12-092)"
"Bunker Reef (12-093)"
"Long Sandy Reef (12-094)"
"U/N Reef (12-095)"
"Sunk Reef (12-122)"
"U/N Reef (12-123)"
"U/N Reef (12-124)"
"Rocky Island Reef (12-125)"
"Frederick Patches (12-126)"
"U/N Reef (12-127)"
"Chapman Reef (12-129)"
"U/N Reef (12-130)"
"U/N Reef (12-131)"
"Allen Reef (12-132)"
"U/N Reef (12-133)"
"U/N Reef (12-134)"
"U/N Reef (12-135)"
"Hammond Reef (12-136)"
"U/N Reef (12-137)"
"U/N Reef (12-138)"
"U/N Reef (12-139)"
"U/N Reef (12-141)"
"Curd Reef (12-102)"
"U/N Reef (12-103)"
"Log Reef (North) (12-104)"
"Burke Reef (12-105)"
"Tannadice Shoal (12-106)"
"Log Reef (South) (12-107)"
"U/N Reef (12-108)"
"U/N Reef (12-109)"
"U/N Reef (12-110)"
"First Small Reef (12-111)"
"Ape Reef (12-112)"
"U/N Reef (12-113)"
"U/N Reef (12-114)"
"Zenith Reef (12-115)"
"U/N Reef (12-116)"
"Bligh Reef (12-118)"
"Wye Reef (12-119)"
"Lansdown Reef (12-120)"
"U/N Reef (12-121)"
"Throne Shoals (13-036)"
"U/N Reef (13-037)"
"U/N Reef (13-038)"
"U/N Reef (13-040)"
"Celebration Reef (13-041)"
"U/N Reef (12-142)"
"Cat Reef (12-143)"
"U/N Reef (12-144)"
"Sherrard Reef (12-145)"
"U/N Reef (12-146)"
"U/N Reef (12-148)"
"U/N Reef (12-149)"
"U/N Reef (12-150)"
"U/N Reef (12-151)"
"U/N Reef (12-152)"
"U/N Reef (12-038c)"
"U/N Reef (12-154)"
"U/N Reef (13-001)"
"Derry Reef (13-002)"
"Wasp Reef (13-004)"
"Ham Reef (13-005)"
"Osborne Reef (13-006)"
"U/N Reef (13-007)"
"MacNamara Patch (13-008)"
"Wilsen Shoal (13-009)"
"U/N Reef (13-010a)"
"U/N Reef (13-010b)"
"U/N Reef (13-011)"
"Stork Reef (13-012)"
"U/N Reef (13-013)"
"U/N Reef (13-014)"
"Franklin Reef (13-015)"
"U/N Reef (13-016a)"
"U/N Reef (13-016b)"
"U/N Reef (13-017a)"
"U/N Reef (13-017b)"
"U/N Reef (13-017c)"
"U/N Reef (13-019)"
"Sykes Reef (13-020)"
"Colclough Reef (13-021)"
"New Reef (13-022)"
"Dart Shoal (13-023)"
"Glennie Reef (13-024)"
"Waterwitch Reef (13-025)"
"Gertrude Reef (13-026)"
"Jubilee Reef (13-027)"
"Tijou Reef (13-028)"
"U/N Reef (13-029)"
"U/N Reef (13-030)"
"Night Reef (13-031)"
"Diamond Reign Reefs (13-032)"
"U/N Reef (13-033)"
"Binstead Reef (13-034)"
"U/N Reef (13-035)"
"Hedley Reef (17-014)"
"Jackson Patches (17-015)"
"Virginia Chadwick Reef (18-016)"
"Reg Ward Reef (18-017)"
"Otter Reef (18-018)"
"Undine Reef (West) (16-020a)"
"Undine Reef (East) (16-020b)"
"U/N Reef (16-022a)"
"U/N Reef (16-022b)"
"Rudder Reef (16-023)"
"Chinaman Reef (16-024)"
"Moore Reef (16-071)"
"North West Reef (16-072)"
"Elford Reef (16-073)"
"Briggs Reef (16-074)"
"Channel Reef (16-075)"
"U/N Reef (16-076)"
"McCulloch Reef (No 1) (17-016a)"
"McCulloch Reef (No 2) (17-016b)"
"Gibson Reef (17-017)"
"Howie Reef (17-018a)"
"Barnett Patches (18-019)"
"Duncan Reef (18-020)"
"U/N Reef (18-021)"
"U/N Reef (18-022)"
"Opal Reef (16-025)"
"Tongue Reef (16-026)"
"U/N Reef (16-027)"
"Low Islands Reef (16-028)"
"U/N Reef (16-077)"
"U/N Reef (16-078)"
"Outer Shoal (16-079)"
"Korea Reef (16-080)"
"Yule Reef (16-081)"
"Garioch Reef (16-082)"
"U/N Reef (16-083)"
"U/N Reef (16-084)"
"Arthur Patches (17-018b)"
"U/N Reef (17-020a)"
"U/N Reef (17-020b)"
"U/N Reef (17-021a)"
"U/N Reef (17-021b)"
"Cayley Reef (17-023)"
"U/N Reef (18-023)"
"Britomart Reef (18-024)"
"U/N Reef (18-025)"
"Batt Reef (16-029)"
"Norman Reef (16-030)"
"Satellite Reef (16-031)"
"Saxon Reef (16-032)"
"Linden Bank (16-033)"
"Spur Reef (16-034)"
"U/N Reef (16-085)"
"U/N Reef (16-086)"
"U/N Reef (16-087)"
"U/N Reef (16-088)"
"Peart Reef (17-024)"
"U/N Reef (17-025)"
"U/N Reef (17-026)"
"Raaf Shoals (17-027)"
"Publican Shoals (North) (17-028)"
"Mustard Patches (North) (17-029a)"
"Mustard Patches (South) (17-029b)"
"Walker Reef (18-026)"
"Trunk Reef (18-027)"
"U/N Reef (18-028)"
"Bramble Reef (18-029)"
"Kelso Reef (18-030)"
"Little Kelso Reef (18-031)"
"Onyx Reef (16-035)"
"Nicholas Reef (16-036)"
"Wentworth Reef (16-037)"
"Egmont Reef (16-038)"
"Alexandra Reefs (No 1) (16-039a)"
"Alexandra Reefs (No 2) (16-039b)"
"Pixie Reef (16-040)"
"Jorgensen Patch (16-041)"
"U/N Reef (16-089)"
"U/N Reef (16-090)"
"U/N Reef (16-091)"
"U/N Reef (16-092)"
"U/N Reef (16-093)"
"U/N Reef (16-094)"
"U/N Reef (16-095)"
"Publican Shoals (South) (17-030)"
"U/N Reef (17-031)"
"Wardle Reef (17-032)"
"U/N Reef (17-033)"
"Feather Reef (17-034)"
"Nathan Reef (17-035)"
"U/N Reef (15-059b)"
"U/N Reef (15-059c)"
"U/N Reef (15-059d)"
"U/N Island (15-059e)"
"Ottaway Patch (15-060)"
"Stonor Patch (15-061)"
"Delius Patch (15-062)"
"Gubbins Reef (15-063)"
"Breaking Patches (16-042)"
"Oyster Reef (16-043a)"
"U/N Reef (16-043b)"
"U/N Reef (16-044a)"
"Vlasoff Reef (16-044b)"
