"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"Douglas Islet Reef (11-038)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-039)",1,2,0.25,0.5,0.25
"U/N Reef (11-040)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-041a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-041b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-042)",NaN,NaN,NaN,NaN,NaN
"Onslow Reef (11-043)",NaN,NaN,NaN,NaN,NaN
"Wilds Shoal (11-044)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-045)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-046)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-047)",NaN,NaN,NaN,NaN,NaN
"Turning Point Patches (No 1) (11-048a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-071)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-072)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-073)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-074)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-075)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-076)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-056a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-056b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-056c)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-056d)",NaN,NaN,NaN,NaN,NaN
"Cochin Reef (11-057)",NaN,NaN,NaN,NaN,NaN
"Parkinson Reef (11-058)",NaN,NaN,NaN,NaN,NaN
"Monkman Reef (11-059)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-060)",NaN,NaN,NaN,NaN,NaN
"Little Boydong Reef (11-061)",NaN,NaN,NaN,NaN,NaN
"Boydong Island Reef (11-062)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-063a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-063b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-064)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-065)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-066)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-067)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-068)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-069)",NaN,NaN,NaN,NaN,NaN
"Maclennan Reef (No 1) (11-070a)",NaN,NaN,NaN,NaN,NaN
"Maclennan Reef (No 2) (11-070b)",NaN,NaN,NaN,NaN,NaN
"Maclennan Reef (No 3) (11-070c)",NaN,NaN,NaN,NaN,NaN
"Indefatigable Reef (11-103)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-104)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-105)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-107)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-108)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-109a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-109b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-110)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-111)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-112)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-113)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-114)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-115)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-116)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-117)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-118a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-118b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-119)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-077)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-078)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-079)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-080)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-081)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-082)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-083)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-084)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-085)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-087a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-087b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-088)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-089a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-089b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-090)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-091)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-092)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-093)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-094)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-095)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-096)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-097)",NaN,NaN,NaN,NaN,NaN
"Risk Reef (11-098)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-099)",NaN,NaN,NaN,NaN,NaN
"Shadwell Reef (11-100)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-101)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-102)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-157)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-158)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-120)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-121)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-122)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-123)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-124)",NaN,NaN,NaN,NaN,NaN
"Stark Reef (11-125)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-126a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-126b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-127a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-127b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-128)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-129)",NaN,NaN,NaN,NaN,NaN
"Moulter Reef (11-130)",NaN,NaN,NaN,NaN,NaN
"Saunders Reef (11-131)",NaN,NaN,NaN,NaN,NaN
"Hunter Reefs (11-132)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-133)",NaN,NaN,NaN,NaN,NaN
"Pirie Reef (11-134)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-135)",NaN,NaN,NaN,NaN,NaN
"Hannibal Islands Reef (11-136)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-137)",NaN,NaN,NaN,NaN,NaN
"MacArthur Islands Reef (11-138)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-139)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-140)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-141)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-142)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-143)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-144)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-145)",NaN,NaN,NaN,NaN,NaN
"Nigger Head Reef (11-146)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-147)",NaN,NaN,NaN,NaN,NaN
