"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"Kangaroo Reef (East) (19-063a)",0,8,0.00919678714859438,0.0481927710843374,0
"Kangaroo Reef (West) (19-063b)",0,8,0.00892857142857143,0.0357142857142857,0
"Kay Reef (12-010)",1,11,0.0277902174453899,0.253968253968254,0
"Keeper Reef (18-079)",1,17,3.65318400110399,28.38,0.0408163265306122
"Kelso Reef (18-030)",1,15,0.335446246644709,2.43859649122807,0.00763358778625954
"Knife Reef (18-081)",1,18,0.197481119703342,2.66666666666667,0
"Lady Musgrave Reef (23-082a)",1,29,0.0621932823115194,0.397058823529412,0.0166666666666667
"Lagoon Reef (12-061)",0,14,0.0010989010989011,0.0153846153846154,0
"Lamont Reef (23-076)",1,6,0.123832157320818,0.357142857142857,0.0871110899026532
"Langford-Bird Reef (20-019)",0,16,0.00944683908045977,0.116666666666667,0
"Lark Reef (15-033)",1,8,0.37304163632136,2.89667896678967,0.00862435918790369
"Lavers Reef (21-235)",1,2,0.228301886792453,0.4,0.228301886792453
"Lena Reef (15-085)",0,12,0,0,0
"Linnet Reef (14-126)",1,34,0.111441528932068,0.971428571428571,0
"Little Kelso Reef (18-031)",1,17,0.392529205719433,4.36666666666667,0
"Littles Reef (21-589)",1,1,11.1333333333333,11.1333333333333,11.1333333333333
"Lizard Island Reef (North West) (14-116a)",1,28,0.228072763304005,1.92045454545455,0.0219727891156463
"Lodestone Reef (18-078)",1,16,2.41871160160953,21.1764705882353,0.0421610169491525
"Long Reef (15-019)",1,7,0.0808672065998441,0.266666666666667,0.0188679245283019
"Low Islands Reef (16-028)",0,25,0.013172470836542,0.206896551724138,0
"Lynchs Reef (18-091)",1,9,0.102549601011275,0.681159420289855,0.0158730158730159
"MacGillivray Reef (14-114)",1,33,0.118709987982434,0.857142857142857,0
"Mackay Reef (16-015)",1,26,0.0909088375392723,0.675,0
"Mackay Reefs (15-024)",1,13,0.226257217637937,1.56666666666667,0.0185185185185185
"Maori Reef (17-006)",1,8,0.0506265664160401,0.338345864661654,0
"Martin Reef (14-123)",1,30,0.102678495158525,0.8,0.00975420321637427
"Marx Reef (15-027)",1,18,0.2188493130227,2.48387096774194,0
"Mast Head Reef (23-069)",0,12,0,0,0
"McCulloch Reef (No 1) (17-016a)",1,10,0.134601776880209,1.32743362831858,0
"Michaelmas Reef (16-060)",0,31,0.0157529733683403,0.135135135135135,0
"Mid Reef (19-029)",1,6,2.26976926523297,8.34375,0.904793906810036
"Middle Banks (11-222a)",0,10,0.0140692640692641,0.0952380952380952,0
"Milln Reef (16-067)",0,10,0.00523809523809524,0.0357142857142857,0
"Moore Reef (16-071)",1,20,0.0250811517595743,0.233333333333333,0
"Morning Reef (15-098)",1,8,0.121875,0.608333333333333,0
"Moss Reef (17-068)",0,9,0.00161030595813205,0.0144927536231884,0
"Myrmidon Reef (18-034)",0,27,0.000805152979066023,0.0217391304347826,0
"Nathan Reef (17-035)",1,10,0.111624892460799,0.89873417721519,0.00304878048780488
"Needle Reef (18-037)",1,3,1.28070175438596,3.84210526315789,0
"No 10 Patches (No 2) (14-152)",0,11,0,0,0
"No Name Reef (14-139)",0,31,0,0,0
"Noggin Reef (17-008)",0,14,0.0200517946537407,0.142857142857143,0
"Noreaster Reef (17-062)",1,6,0.895371913502105,3.27142857142857,0.0374331550802139
"Norman Reef (16-030)",0,20,0.00451388888888889,0.0625,0
"Normanby-Mabel Reef (17-012)",0,15,0.00588235294117647,0.0882352941176471,0
"North Direction Reef (14-143)",1,30,0.0872963465455726,0.714285714285714,0
"North Reef (North) (23-045a)",0,10,0,0,0
"Nymph Reef (14-115)",1,6,0.156659765355418,0.80952380952381,0
"Obstruction Reef (21-552)",1,6,0.915314401622718,2.8448275862069,0.5
"Old Reef (19-048)",1,5,5.8497435116017,21.9194630872483,0.161764705882353
