"reefName","cotsPerTowMaxImput","cotsPerTowMeanImput","cotsPerTowMedianImput","x","y","area"
"U/N Reef (21-473)",1.25776608126571,0.648344775059318,0.151274774958869,152.44084167,-21.52726746,978304.6743
"U/N Reef (21-474)",3.6313685610939,0.648344775059318,0.151274774958869,152.47457886,-21.53461266,3536619.81
"Poulson Reef (21-548)",0.0952380952380952,0.0238095238095238,0,152.45889282,-21.93623352,3125462.973
"Pike Reef (21-549)",0.00615384615384615,0.00123076923076923,0,152.42330933,-21.94807434,14918809.17
"U/N Reef (21-550)",0.533333333333333,0.0444444444444444,0,152.31266785,-21.95143318,7869827.092
"U/N Reef (21-551)",0.78757225433526,0.190311962453221,0.0622429278938974,152.0556488,-21.96060562,21972997
"U/N Reef (21-675)",0.990008114967431,0.602307220274998,0.15164666083958,151.94276428,-21.74864578,15893.13239
"U/N Reef (21-676)",1.72349689890711,0.694675964067382,0.183107862341457,151.96006775,-21.88318062,87545.78155
"U/N Reef (21-677)",0.202734841706814,0.336555104572768,0.0652839855699867,151.96139526,-21.59081268,1620839.751
"U/N Reef (21-678)",1.64347690005805,0.694675964067382,0.183107862341457,151.97212219,-21.88482475,233762.3101
"U/N Reef (21-679)",2.3192449647851,0.744170404479529,0.192795038842492,151.98713684,-21.91567039,442311.6173
"U/N Reef (21-680)",1.36662922565914,0.604481353488795,0.152118358952787,152.00538635,-21.69825745,73559.89574
"U/N Reef (21-681)",1.36662922565914,0.604481353488795,0.152118358952787,152.0188446,-21.69502258,93678.39721
"U/N Reef (21-682)",0.901750027719373,0.604481353488795,0.152118358952787,152.02125549,-21.67606735,150434.1644
"U/N Reef (21-683)",1.36662922565914,0.604481353488795,0.152118358952787,152.02166748,-21.69340134,115526.8798
"U/N Reef (21-684)",1.36662922565914,0.604481353488795,0.152118358952787,152.02507019,-21.68602943,141339.1054
"U/N Reef (21-685)",0.901750027719373,0.604481353488795,0.152118358952787,152.0275116,-21.67679596,115967.9444
"North Point Cays Reef (22-007)",NaN,NaN,NaN,149.81164551,-22.04288864,289874.9498
"Brooks Shoal (22-008)",NaN,NaN,NaN,149.93243408,-22.02566528,232637.7096
"Barren Island Reef (22-009)",NaN,NaN,NaN,149.97019958,-22.03235817,648065.1719
"Roundish Reef (22-010)",NaN,NaN,NaN,149.61427307,-22.05583191,80564.37647
"South Barren Reef (22-012)",NaN,NaN,NaN,149.98780823,-22.05339432,620589.5118
"Obstruction Shoals (22-013)",NaN,NaN,NaN,149.93154907,-22.06221771,760233.3456
"U/N Reef (22-014)",NaN,NaN,NaN,149.56730652,-22.17403793,397104.0325
